wkt,address_street,lat_geocoded,lon_geocoded,scientific_name,common_name,fruit_period,tree_id
POINT (-122.436785009266003 37.76689509472692),1037 14th Street,,,Citrus,Bearss lime,"""spring",313
POINT (-122.473243804891766 37.760371927966567),1484 16th Ave.,,,Citrus,Bearss lime,"""spring",324
POINT (-122.473153950887522 37.76034330124611),1484 16th Avenue,,,Citrus,Bearss lime,"""spring",333
POINT (-122.473241122684044 37.760335879501895),1484 16th Ave.,,,Citrus,Bearss lime,"""spring",334
POINT (-122.464922265039249 37.75333481049357),1881 8th Ave,,,Citrus,Bearss lime,"""spring",335
POINT (-122.474261166255857 37.77524703271984),1438 Cabrillo St,,,Citrus,Bearss lime,"""spring",344
POINT (-122.434749967510172 37.799245434474138),2100-2116 Greenwich Street,,,Citrus,Bearss lime,"""spring",345
POINT (-122.392496830692153 37.733468451594575),1747 Quesada Avenue,,,Citrus,Bearss lime,"""spring",358
POINT (-122.393702279765307 37.734256725360048),10 Bridgeview Drive,,,Citrus,Bearss lime,"""spring",359
POINT (-122.465636000000003 37.733556),385 Santa Clara Avenue,,,Citrus,Bearss lime,"""spring",362
POINT (-122.414516253971328 37.797365265088558),30 Florence Street,,,Citrus,Bearss lime,"""spring",441
POINT (-122.410974200668804 37.75866234109273),824 Florida Street,,,Citrus,Bearss lime,"""spring",521
POINT (-122.418499999999995 37.746279999999999),26 Coso Avenue,,,Citrus,Bearss lime,"""spring",532
POINT (-122.438100704863899 37.761877172944011),2640 Market Street,,,Citrus,Bearss lime,"""spring",576
POINT (-122.406257160935624 37.715329662009843),500 Campbell Ave,,,Citrus,Bearss lime,"""spring",170905
POINT (-122.406254552239972 37.715329646207074),Rutland St & Campbell Ave,,,Citrus,Bearss lime,"""spring",170906
POINT (-122.440434411029372 37.725294359709991),164 Otsego Ave,,,Malus,Beverly Hills apple,"""summer",1996
POINT (-122.400802974256152 37.720567964692698),3299 San Bruno Ave,,,Malus,Beverly Hills apple,"""summer",2000
POINT (-122.400856618437942 37.720597667618058),3299 San Bruno Ave,,,Malus,Beverly Hills apple,"""summer",2001
POINT (-122.4008673472689 37.720537837401572),3299 San Bruno Ave,,,Malus,Beverly Hills apple,"""summer",2003
POINT (-122.381962871529709 37.734959702440861),99 westbrook ct,,,Malus,Beverly Hills apple,"""summer",2030
POINT (-122.440433107834394 37.725307587100012),164 otsego,,,Malus,Beverly Hills apple,"""summer",2580
POINT (-122.413092569889855 37.770041234920079),555 12th street,,,Malus,Beverly Hills apple,"""summer",2584
POINT (-122.413115368700588 37.77001600426486),555 12th street,,,Malus,Beverly Hills apple,"""summer",2585
POINT (-122.380381218975032 37.733557614905656),266 harbor,,,Malus,Beverly Hills apple,"""summer",2606
POINT (-122.380404017740844 37.733572463765192),266 harbor,,,Malus,Beverly Hills apple,"""summer",2607
POINT (-122.380422793213 37.733576918370609),266 harbor,,,Malus,Beverly Hills apple,"""summer",2608
POINT (-122.447154679498695 37.71187169531315),425 Ellington Avenue,,,Malus,Beverly Hills apple,"""summer",2640
POINT (-122.503748117342397 37.758363437711068),1511 44th ave,,,Malus,Beverly Hills apple,"""summer",2642
POINT (-122.503746570488403 37.758337784474932),1511 44th ave,,,Malus,Beverly Hills apple,"""summer",2643
POINT (-122.503759981527111 37.758381255855078),1511 44th ave,,,Malus,Beverly Hills apple,"""summer",2644
POINT (-122.419317312880182 37.778754841049178),1 dr carlton b goodlet plaza,,,Malus,Beverly Hills apple,"""summer",2662
POINT (-122.419113464992989 37.778767560805051),1 dr carlton b goodlet plaza,,,Malus,Beverly Hills apple,"""summer",2663
POINT (-122.431243755226774 37.742272814637474),1670 noe st,,,Malus,Beverly Hills apple,"""summer",2668
POINT (-122.473210277277033 37.760363445976218),1484 16th Avenue,,,Prunus Bing,Bing cherry,"""spring",329
POINT (-122.415824279762347 37.7551452064749),824 Shotwell Street,,,Ficus carica,Black Mission fig,"""summer",479
POINT (-122.431052289672564 37.746776681061583),482,,,Ficus carica,Black Mission fig,"""summer",579
POINT (-122.425399999999996 37.740720000000003),51 Chenery St,,,Ficus carica,Black Mission fig,"""summer",1403
POINT (-122.406195178627982 37.71560875427781),300 Rutland St,,,Ficus carica,Black Mission fig,"""summer",1936
POINT (-122.416770999999997 37.749428000000002),1085 Capp Street,37.749428,-122.416771,Ficus carica,Black Mission fig,"""summer",153305
POINT (-122.406249334848667 37.715329614601529),500 Campbell Ave,,,Ficus carica,Black Mission fig,"""summer",170907
POINT (-122.405908441653125 37.712761022673313),135 Raymond Ave,,,Ficus carica,Black Mission fig,"""summer",170955
POINT (-122.405914441653124 37.712761129394096),131 Raymond Avenue,,,Ficus carica,Black Mission fig,"""summer",170956
POINT (-122.405086933699636 37.759758299936593),754-798 San Bruno Avenue,,,Ficus carica,Black Mission fig,"""summer",171203
POINT (-122.418510342857132 37.732240252611753),600 Alemany Blvd,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171620
POINT (-122.418508557142857 37.732240249294108),600-610 Alemany Boulevard,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171621
POINT (-122.418429057672427 37.732277413432833),600-610 Alemany Boulevard,37.7322401,-122.4184282,Ficus carica,Black Mission fig,"""summer",171622
