166,Ulmus xhollandica,Pioneer elm,0,0,
167,Ulmus,Elm,0,7,
168,Acer platanoides,Norway maple,0,23216,
184,Acacia longifolia,Sydney golden wattle,0,170,
190,Acacia melanoxylon,Black acacia,0,1084,
257,Acacia stenophylla,Shoestring acacia,0,63,
416,Acer buergerianum,Trident maple,0,76,
418,Acer circinatum,Vine maple,0,5,
422,Acer ginnala,Amur maple,0,2,
427,Acer japonicum,Japanese maple,0,10,
429,Acer macrophyllum,Bigleaf maple,0,3,
433,Acer palmatum,Japanese maple,0,24,
438,Acer rubrum,Red maple,0,316,
439,Acer saccharinum,Silver maple,0,10,
440,Acer saccharum,Sugar maple,0,3,
791,Aesculus californica,California buckeye,0,43,
792,Aesculus xcarnea,Red horsechestnut,0,46,
1080,Albizia julibrissin,Mimosa,0,11,
1310,Allocasuarina verticillata,Mountain she-oak,0,45,
1338,Alnus cordata,Italian alder,0,1,
2367,Araucaria heterophylla,Norfolk Island pine,1,16,winter
2373,Arbutus unedo,Strawberry tree,1,316,"fall, winter"
2536,Arecastrum romanzoffianum,Queen palm,0,216,
4562,Betula nigra,River birch,0,5,
4565,Betula pendula,European white birch,0,31,
4975,Brachychiton acerifolius,Flame tree,0,16,
5599,Butia capitata,Jelly palm,1,4,fall
5839,Callistemon citrinus,Lemon bottlebrush,0,985,
5851,Callistemon viminalis,Weeping bottlebrush,0,374,
5874,Calocedrus decurrens,Incense cedar,0,7,
7201,Carpinus betulus,European hornbeam,0,4,
7267,Cassia leptophylla,Gold medallion tree,0,3,
7613,Cedrus deodara,Deodar cedar,0,17,
7637,Celtis australis,European hackberry,1,19,"summer, fall"
7647,Celtis occidentalis,Northern hackberry,1,2,"summer, fall"
7649,Celtis sinensis,Chinese hackberry,1,18,"summer, fall"
7850,Ceratonia siliqua,Carob,1,492,"summer, fall"
7877,Cercis canadensis,Eastern redbud,0,49,
8063,Chamaerops humilis,Mediterranean fan palm,0,21,
8577,Cinnamomum camphora,Camphor tree,0,47,
9678,Cordyline australis,Dracaena palm,0,185,
9823,Corylus cornuta,Beaked hazelnut,1,4,fall
9829,Corymbia citriodora,Lemonscented gum,0,12,
9832,Corymbia ficifolia,Red flowering gum,0,1241,
10091,Crataegus laevigata,Smooth hawthorne,0,85,
10145,Crataegus phaenopyrum,Washington hawthorne,0,287,
10569,Cryptomeria japonica,Japanese cedar,0,2,
10645,Cupaniopsis anacardioides,Carrotwood,0,142,
10659,xCupressocyparis leylandii,Leyland cypress,0,86,
10663,Cupressus arizonica,Arizona cypress,0,13,
10672,Cupressus macrocarpa,Monterey cypress,0,480,
10675,Cupressus sempervirens,Italian cypress,0,35,
12550,Dodonaea viscosa,Florida hopbush,0,585,
12739,Dracaena draco,Dragon tree,0,46,
12771,Drimys winteri,Winters bark,0,1,
14137,Eriobotrya japonica,Loquat,1,10,"spring, summer"
14692,Eucalyptus camaldulensis,River redgum,0,7,
14698,Eucalyptus cinerea,Silver dollar eucalyptus,0,19,
14764,Eucalyptus globulus,Blue gum eucalyptus,0,66,
14791,Eucalyptus lehmannii,Bushy yate,0,86,
14802,Eucalyptus macarthurii,Camden woolybutt,0,4,
14814,Eucalyptus melliodora,Yellow box eucalyptus,0,4,
14827,Eucalyptus nicholii,Willow-leaved gimlet,0,153,
14830,Eucalyptus nitida,Peppermint gum,0,4,
14839,Eucalyptus odorata,Peppermint box,0,3,
14870,Eucalyptus polyanthemos,Silver dollar gum eucalyptus,0,321,
14885,Eucalyptus redunca,Black marlock,0,2,
14905,Eucalyptus sideroxylon,Red ironbark,0,359,
14924,Eucalyptus torquata,Coral gum,0,2,
15362,Feijoa sellowiana,Pineapple guava,1,12,"fall, winter"
15513,Ficus carica,Common fig,1,20,"summer, fall"
15520,Ficus microcarpa,Chinese banyan,0,2812,
15786,Fraxinus americana,White ash,0,32,
15807,Fraxinus uhdei,Evergreen ash,0,201,
16465,Ginkgo biloba,Ginkgo,0,1214,
16466,Ginkgo biloba,Pendula ginkgo,0,5,
16524,Gleditsia triacanthos,Honeylocust,0,56,
16525,Gleditsia triacanthos,Honeylocust,1,1,
16779,Grevillea robusta,Silk oak,0,21,
17761,Heteromeles arbutifolia,Christmasberry,0,35,
18439,Hymenosporum flavum,Sweetshade,0,182,
19238,Jacaranda mimosifolia,Jacaranda,0,529,
19349,Juglans californica,California walnut,1,2,fall
19351,Juglans hindsii,Hinds black walnut,1,2,fall
19518,Juniperus chinensis,Chinese juniper,0,13,
19698,Koelreuteria bipinnata,Chinese flame tree,0,30,
19700,Koelreuteria paniculata,Goldenrain tree,0,47,
19850,Lagerstroemia indica,Common crapemyrtle,0,6,
19863,Lagunaria patersonii,Primrose tree; cow itch tree,0,230,
20057,Laurus nobilis,Sweet bay,0,199,
20837,Leptospermum laevigatum,Australian teatree,0,456,
20843,Leptospermum petersonii,Lemon-scented teatree,0,5,
20846,Leptospermum scoparium,Teatree,0,243,
21250,Ligustrum lucidum,Chinese privet,0,777,
21507,Liquidambar orientalis,Oriental sweetgum,0,134,
21508,Liquidambar styraciflua,Sweetgum,0,453,
21511,Liriodendron tulipifera,Tulip tree,0,86,
21534,Lithocarpus densiflorus,Tanoak,0,3,
21906,Lophostemon confertus,Brisbane box,0,5933,
22414,Lyonothamnus floribundus,Lyontree,0,230,
22589,Magnolia grandiflora,Southern magnolia,0,2211,
22595,Magnolia xsoulangiana,Saucer magnolia,0,2,
22708,Malus,Magenta Apple,1,3,
22716,Malus floribunda,Flowering crab apple,1,29,"summer, fall"
23017,Maytenus boaria,Mayten,0,1898,
23125,Melaleuca ericifolia,Swamp paperbark,0,573,
23132,Melaleuca linariifolia,Cajeput tree,0,182,
23136,Melaleuca nesophila,Pink melaleuca,0,140,
23143,Melaleuca quinquenervia,Cajeput,0,834,
23148,Melaleuca styphelioides,Prickly melaleuca,0,8,
23565,Michelia champaca,Champaca,0,29,
23566,Michelia doltsopa,Sweet michelia,0,112,
24080,Morella californica,Pacific bayberry,0,4,
24111,Morus alba,White mulberry,1,25,summer
24323,Myoporum laetum,Myoporum,0,325,
24742,Nerium oleander,Oleander,0,5,
24967,Nyssa sylvatica,Black tupelo,0,2,
25169,Olea europaea,Olive,1,1432,fall
27054,Persea americana,Avocado,1,28,"spring, summer, fall, winter"
27055,Persea borbonia,Redbay,0,12,
